격자순번,격자100m,위도,경도,실제값,예측값,시계열예측값
262,다바808063,36.25420365,127.2868375,0,0,0.8619804
263,다바808064,36.2551052,127.286835,0,0,0.86034316
264,다바808065,36.25600675,127.2868326,0,0,0.8618246
265,다바808066,36.2569083,127.2868301,0,0,0.8656305
266,다바808067,36.25780985,127.2868277,0,0,0.86501646
267,다바808068,36.2587114,127.2868252,0,0,0.8760163
268,다바808069,36.25961295,127.2868228,0,0,0.8485909
269,다바808070,36.2605145,127.2868203,0,0,0.00065559
270,다바809040,36.23346995,127.2880066,0,0,0.86563486
271,다바809041,36.2343715,127.2880042,0,0,0.8658779
272,다바809042,36.23527306,127.2880017,0,0,0.8657991
273,다바809043,36.23617461,127.2879993,0,0,0.8660866
274,다바809044,36.23707616,127.2879968,0,0,0.86439586
275,다바809045,36.23797771,127.2879944,0,0,0.8760208
276,다바809046,36.23887927,127.287992,1,0,0.87601906
277,다바809047,36.23978082,127.2879895,0,0,0.860917
278,다바809048,36.24068237,127.2879871,0,0,0.8760261
279,다바809049,36.24158392,127.2879847,0,0,0.8501775
280,다바809050,36.24248547,127.2879822,0,0,0.8097055
281,다바809051,36.24338702,127.2879798,0,0,0.00065559
282,다바809052,36.24428858,127.2879774,0,0,0.00065559
283,다바809053,36.24519013,127.2879749,0,0,0.00065559
284,다바809054,36.24609168,127.2879725,0,0,0.00065559
285,다바809055,36.24699323,127.2879701,0,0,0.00065559
286,다바809056,36.24789478,127.2879676,0,0,0.863139
287,다바809057,36.24879633,127.2879652,0,0,0.86245364
288,다바809058,36.24969788,127.2879628,0,0,0.8463003
289,다바809059,36.25059943,127.2879603,0,0,0.8436364
290,다바809060,36.25150098,127.2879579,0,0,0.86108214
291,다바809061,36.25240253,127.2879555,0,0,0.67297167
292,다바809062,36.25330408,127.287953,0,0,0.00065559
293,다바809063,36.25420563,127.2879506,0,0,0.8552734
294,다바809064,36.25510718,127.2879481,0,0,0.66196513
295,다바809065,36.25600873,127.2879457,0,0,0.8551167
296,다바809066,36.25691028,127.2879433,0,0,0.8656524
297,다바809067,36.25781183,127.2879408,0,0,0.86540425
298,다바809068,36.25871338,127.2879384,1,0,0.8760253
299,다바809069,36.25961493,127.287936,0,0,0.00065559
300,다바809070,36.26051648,127.2879335,0,0,0.7943371
301,다바809071,36.26141803,127.2879311,0,0,0.8471145
302,다바810039,36.23257036,127.2891218,0,0,0.86574024
303,다바810040,36.23347192,127.2891194,0,0,0.67752326
304,다바810041,36.23437347,127.289117,0,0,0.00065559
305,다바810042,36.23527502,127.2891146,0,0,0.8605549
306,다바810043,36.23617658,127.2891121,0,0,0.86570704
307,다바810044,36.23707813,127.2891097,0,0,0.8760284
308,다바810045,36.23797968,127.2891073,0,0,0.8668016
309,다바810046,36.23888123,127.2891049,0,0,0.876011
310,다바810047,36.23978278,127.2891025,0,0,0.8636125
311,다바810048,36.24068434,127.2891,0,0,0.7649887
312,다바810049,36.24158589,127.2890976,0,0,0.00065559
313,다바810050,36.24248744,127.2890952,0,0,0.8587265
314,다바810051,36.24338899,127.2890928,0,0,0.86232305
315,다바810052,36.24429054,127.2890903,0,0,0.00065559
316,다바810053,36.24519209,127.2890879,0,0,0.00065559
317,다바810054,36.24609365,127.2890855,0,0,0.00065559
318,다바810055,36.2469952,127.2890831,0,0,0.00065559
319,다바810056,36.24789675,127.2890807,0,0,0.00065559
320,다바810057,36.2487983,127.2890782,0,0,0.00065559
321,다바810058,36.24969985,127.2890758,0,0,0.86358505
322,다바810059,36.2506014,127.2890734,0,0,0.8551996
323,다바810060,36.25150295,127.289071,0,0,0.8226942
324,다바810061,36.2524045,127.2890685,0,0,0.86584663
325,다바810062,36.25330605,127.2890661,0,0,0.00065559
326,다바810063,36.2542076,127.2890637,0,0,0.00065559
327,다바810064,36.25510915,127.2890613,0,0,0.00065559
328,다바810065,36.2560107,127.2890588,0,0,0.69216424
329,다바810066,36.25691225,127.2890564,0,0,0.8517422
330,다바810067,36.2578138,127.289054,0,0,0.86535746
331,다바810068,36.25871535,127.2890516,0,0,0.00065559
332,다바810069,36.2596169,127.2890492,0,0,0.86600274
333,다바810070,36.26051845,127.2890467,0,0,0.00065559
334,다바810071,36.26142,127.2890443,0,0,0.00065559
335,다바811038,36.23167077,127.290237,0,0,0.8657639
336,다바811039,36.23257232,127.2902346,0,0,0.86581695
337,다바811040,36.23347387,127.2902322,0,0,0.87602633
338,다바811041,36.23437543,127.2902298,0,0,0.8657136
339,다바811042,36.23527698,127.2902274,0,0,0.8632627
340,다바811043,36.23617853,127.290225,0,0,0.86348933
341,다바811044,36.23708008,127.2902226,0,0,0.7578115
342,다바811045,36.23798164,127.2902202,0,0,0.00065559
343,다바811046,36.23888319,127.2902178,0,0,0.8631291
344,다바811047,36.23978474,127.2902154,0,0,0.86385095
