grid_idx,격자100m,위도,경도
517,다바815054,36.24610333,127.2946505
518,다바815055,36.24700488,127.2946481
519,다바815056,36.24790643,127.2946458
520,다바815057,36.24880798,127.2946434
521,다바815058,36.24970953,127.2946411
522,다바815059,36.25061108,127.2946387
523,다바815060,36.25151263,127.2946363
524,다바815061,36.25241419,127.294634
525,다바815062,36.25331574,127.2946316
526,다바815063,36.25421729,127.2946293
527,다바815064,36.25511884,127.2946269
528,다바815065,36.25602039,127.2946245
529,다바815066,36.25692194,127.2946222
530,다바815067,36.25782349,127.2946198
531,다바815068,36.25872504,127.2946175
532,다바815069,36.25962659,127.2946151
533,다바815070,36.26052813,127.2946127
534,다바815071,36.26142968,127.2946104
535,다바815072,36.26233123,127.294608
536,다바815073,36.26323278,127.2946057
537,다바815074,36.26413433,127.2946033
538,다바815075,36.26503588,127.2946009
539,다바815076,36.26593743,127.2945986
540,다바816028,36.22266485,127.2958244
541,다바816029,36.2235664,127.2958221
542,다바816030,36.22446796,127.2958198
543,다바816031,36.22536951,127.2958174
544,다바816032,36.22627107,127.2958151
545,다바816033,36.22717262,127.2958127
546,다바816034,36.22807417,127.2958104
547,다바816035,36.22897573,127.295808
548,다바816036,36.22987728,127.2958057
549,다바816037,36.23077884,127.2958034
550,다바816038,36.23168039,127.295801
551,다바816039,36.23258194,127.2957987
552,다바816040,36.2334835,127.2957963
553,다바816041,36.23438505,127.295794
554,다바816042,36.2352866,127.2957916
555,다바816043,36.23618816,127.2957893
556,다바816044,36.23708971,127.2957869
557,다바816045,36.23799126,127.2957846
558,다바816046,36.23889282,127.2957823
559,다바816047,36.23979437,127.2957799
560,다바816048,36.24069592,127.2957776
561,다바816049,36.24159747,127.2957752
562,다바816050,36.24249903,127.2957729
563,다바816051,36.24340058,127.2957705
564,다바816052,36.24430213,127.2957682
565,다바816053,36.24520368,127.2957658
566,다바816054,36.24610523,127.2957635
567,다바816055,36.24700678,127.29576109999999
568,다바816056,36.24790834,127.2957588
569,다바816057,36.24880989,127.2957565
570,다바816058,36.24971144,127.2957541
571,다바816059,36.25061299,127.2957518
572,다바816060,36.25151454,127.2957494
573,다바816061,36.25241609,127.2957471
574,다바816062,36.25331764,127.2957447
575,다바816063,36.25421919,127.2957424
576,다바816064,36.25512074,127.29574
577,다바816065,36.25602229,127.2957377
578,다바816066,36.25692384,127.2957353
579,다바816067,36.25782539,127.295733
580,다바816068,36.25872694,127.2957306
581,다바816069,36.25962849,127.2957283
582,다바816070,36.26053004,127.2957259
583,다바816071,36.26143159,127.2957236
584,다바816072,36.26233314,127.2957213
585,다바816073,36.26323469,127.2957189
586,다바816074,36.26413624,127.2957166
587,다바816075,36.26503779,127.2957142
588,다바816076,36.26593933,127.2957119
589,다바816077,36.26684088,127.2957095
590,다바817028,36.22266674,127.2969371
591,다바817029,36.2235683,127.2969348
592,다바817030,36.22446985,127.2969325
593,다바817031,36.2253714,127.2969301
594,다바817032,36.22627296,127.2969278
595,다바817033,36.22717451,127.2969255
596,다바817034,36.22807607,127.2969231
597,다바817035,36.22897762,127.2969208
598,다바817036,36.22987918,127.2969185
599,다바817037,36.23078073,127.2969161
600,다바817038,36.23168228,127.2969138
601,다바817039,36.23258384,127.2969115
602,다바817040,36.23348539,127.2969091
603,다바817041,36.23438695,127.2969068
604,다바817042,36.2352885,127.2969045
605,다바817043,36.23619005,127.2969021
606,다바817044,36.23709161,127.2968998
607,다바817045,36.23799316,127.2968975
608,다바817046,36.23889471,127.2968952
609,다바817047,36.23979626,127.2968928
610,다바817048,36.24069782,127.2968905
611,다바817049,36.24159937,127.2968882
612,다바817050,36.24250092,127.2968858
613,다바817051,36.24340247,127.2968835
614,다바817052,36.24430402,127.2968812
615,다바817053,36.24520558,127.2968788
616,다바817054,36.24610713,127.2968765
617,다바817055,36.24700868,127.2968742
618,다바817056,36.24791023,127.2968718
619,다바817057,36.24881178,127.2968695
620,다바817058,36.24971333,127.2968672
621,다바817059,36.25061488,127.2968648
622,다바817060,36.25151644,127.2968625
623,다바817061,36.25241799,127.2968602
624,다바817062,36.25331954,127.2968578
625,다바817063,36.25422109,127.2968555
626,다바817064,36.25512264,127.2968532
627,다바817065,36.25602419,127.2968508
628,다바817066,36.25692574,127.2968485
629,다바817067,36.25782729,127.2968462
630,다바817068,36.25872884,127.2968438
631,다바817069,36.25963039,127.2968415
632,다바817070,36.26053194,127.2968392
633,다바817071,36.26143349,127.2968368
634,다바817072,36.26233504,127.2968345
635,다바817073,36.26323658,127.2968321
636,다바817074,36.26413813,127.2968298
637,다바817075,36.26503968,127.2968275
638,다바817076,36.26594123,127.2968251
639,다바817077,36.26684278,127.2968228
640,다바818027,36.22176707,127.2980521
641,다바818028,36.22266862,127.2980498
642,다바818029,36.22357018,127.2980475
643,다바818030,36.22447173,127.2980451
644,다바818031,36.22537329,127.2980428
645,다바818032,36.22627484,127.2980405
646,다바818033,36.2271764,127.2980382
647,다바818034,36.22807795,127.2980359
648,다바818035,36.22897951,127.2980336
649,다바818036,36.22988106,127.2980312
650,다바818037,36.23078261,127.2980289
651,다바818038,36.23168417,127.2980266
652,다바818039,36.23258572,127.2980243
653,다바818040,36.23348728,127.298022
654,다바818041,36.23438883,127.2980196
655,다바818042,36.23529038,127.2980173
656,다바818043,36.23619194,127.298015
657,다바818044,36.23709349,127.2980127
658,다바818045,36.23799504,127.2980104
659,다바818046,36.23889659,127.298008
660,다바818047,36.23979815,127.2980057
661,다바818048,36.2406997,127.2980034
662,다바818049,36.24160125,127.2980011
663,다바818050,36.2425028,127.2979988
664,다바818051,36.24340436,127.2979965
665,다바818052,36.24430591,127.2979941
666,다바818053,36.24520746,127.2979918
667,다바818054,36.24610901,127.2979895
668,다바818055,36.24701056,127.2979872
669,다바818056,36.24791212,127.2979849
670,다바818057,36.24881367,127.2979825
671,다바818058,36.24971522,127.2979802
672,다바818059,36.25061677,127.2979779
673,다바818060,36.25151832,127.2979756
674,다바818061,36.25241987,127.2979732
675,다바818062,36.25332142,127.2979709
676,다바818063,36.25422297,127.2979686
677,다바818064,36.25512452,127.2979663
678,다바818065,36.25602607,127.297964
679,다바818066,36.25692762,127.2979616
680,다바818067,36.25782917,127.2979593
681,다바818068,36.25873072,127.297957
682,다바818069,36.25963227,127.2979547
683,다바818070,36.26053382,127.2979524
684,다바818071,36.26143537,127.29795
685,다바818072,36.26233692,127.2979477
686,다바818073,36.26323847,127.2979454
687,다바818074,36.26414002,127.2979431
688,다바818075,36.26504157,127.2979407
689,다바818076,36.26594312,127.2979384
690,다바818077,36.26684467,127.2979361
691,다바818078,36.26774621,127.2979338
692,다바818079,36.26864776,127.2979315
693,다바819027,36.22176894,127.2991648
694,다바819028,36.2226705,127.2991624
695,다바819029,36.22357205,127.2991601
696,다바819030,36.22447361,127.2991578
697,다바819031,36.22537516,127.2991555
698,다바819032,36.22627672,127.2991532
699,다바819033,36.22717827,127.2991509
700,다바819034,36.22807982,127.2991486
701,다바819035,36.22898138,127.2991463
702,다바819036,36.22988293,127.299144
703,다바819037,36.23078449,127.2991417
704,다바819038,36.23168604,127.2991394
705,다바819039,36.2325876,127.2991371
706,다바819040,36.23348915,127.2991348
707,다바819041,36.2343907,127.2991325
708,다바819042,36.23529226,127.2991302
709,다바819043,36.23619381,127.2991279
710,다바819044,36.23709536,127.2991256
711,다바819045,36.23799692,127.2991233
712,다바819046,36.23889847,127.2991209
713,다바819047,36.23980002,127.2991186
714,다바819048,36.24070157,127.2991163
715,다바819049,36.24160313,127.299114
716,다바819050,36.24250468,127.2991117
717,다바819051,36.24340623,127.2991094
718,다바819052,36.24430778,127.2991071
719,다바819053,36.24520934,127.2991048
720,다바819054,36.24611089,127.2991025
721,다바819055,36.24701244,127.2991002
722,다바819056,36.24791399,127.2990979
723,다바819057,36.24881554,127.2990956
724,다바819058,36.24971709,127.2990933
725,다바819059,36.25061864,127.299091
726,다바819060,36.25152019,127.2990886
727,다바819061,36.25242175,127.2990863
728,다바819062,36.2533233,127.299084
729,다바819063,36.25422485,127.2990817
730,다바819064,36.2551264,127.2990794
731,다바819065,36.25602795,127.2990771
732,다바819066,36.2569295,127.2990748
733,다바819067,36.25783105,127.2990725
734,다바819068,36.2587326,127.2990702
735,다바819069,36.25963415,127.2990679
736,다바819070,36.2605357,127.2990656
